URI,Label,Project,Project URI,Item Category,Last Updated,Authorship,Latitude (WGS-84),Longitude (WGS-84),Geospatial note,Early Date (BCE/CE),Late Date (BCE/CE),Context URI,Context (1),Context (2),Context (3),Context (4),Context (5),Context (6),Has anatomical identification [URI],Has anatomical identification [Label],Has Biological Taxonomy [URI],Has Biological Taxonomy [Label],Has physiological sex determination [URI],Has physiological sex determination [Label],Bone Preservation,Bone Box #,Skeletal Area,Bone Catalogue #,Cut/Gnaw Marks?,Common Name,Side,NISP,Part,Element,Date,Distal Fused?,Bucket #,Articulates/Pair with?,Taxon,Principle Author / Analyst,Comments,Proximal Fused?,Notes on Tag,Level,NISP (Number of Identified Specimens),Bp,% Preserved,Locus notes,Age 1,Locus notes 2,GL,Age 2,SD,DD,Bd,Burnt?,Dlv/Blc/Dlt*,Sex,length of spur,link,Pathology?,Sequence #,Field Catalogue #,Bone Preservation 2,DC,Dp,Sequence # 2,Dmv/Bmc/Dmt*,Bp (unfused),GL (prox unfused),Glpe,BFp,GL (approx.),BG,LG,GLP,Hn,SLC,Bd(u),Bd (unfused),BPC,LO (unfused),DPA,SDO,LO,GL (unfused),Bp(u),GL(approx),Bt,Hd,BFd,GB,GH
http://opencontext.org/subjects/1AED95E9-52E2-4EF1-9014-32223748E785,Bone GT-3451,Petra Great Temple Excavations,http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857,Animal Bone,2014-07-23,Sarah W. Kansa,30.328700000000000000000,35.442100000000000000000,Best available location data,-200,360,http://opencontext.org/subjects/E7BADFDF-D3DF-4541-619E-02B0A78768C4,Jordan,Petra Great Temple,Upper Temenos,Special Project 84,Locus 1,Seq. SP84037,http://purl.obolibrary.org/obo/UBERON_0004302,proximal phalanx,http://eol.org/pages/4445650,Sus scrofa domesticus,,,,Box 5,feet,,,Pig,,,Complete,phalanx 1,2001-06-26 00:00:00,,B4,,Sus scrofa,Sarah W. Kansa,,unfused,,,1.0,,Complete,,,,,,11.6,,14,,,,,,,,B01-93,,,,SP84037,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/B594AE43-538B-44E8-22CD-C68108E5EA29,Bone GT-3081,Petra Great Temple Excavations,http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857,Animal Bone,2014-07-22,Sarah W. Kansa,30.328700000000000000000,35.442100000000000000000,Best available location data,-200,360,http://opencontext.org/subjects/279907A8-5DA1-431D-F219-83C373564A58,Jordan,Petra Great Temple,Upper Temenos,Trench 89,Locus 3,Seq. 89081,,,,,,,,Box 8,,,,,,,,,2002-06-22 00:00:00,,B8,,Unidentified fragments,Sarah W. Kansa,,,ESL,,4.0,,,,,,,,,,,,,,,,,89081.0,B02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/94E3E77D-07CB-439E-DD8B-C49CBFBF7B7B,Bone GT-3083,Petra Great Temple Excavations,http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857,Animal Bone,2014-07-23,Sarah W. Kansa,30.328700000000000000000,35.442100000000000000000,Best available location data,-200,360,http://opencontext.org/subjects/279907A8-5DA1-431D-F219-83C373564A58,Jordan,Petra Great Temple,Upper Temenos,Trench 89,Locus 3,Seq. 89081,http://purl.obolibrary.org/obo/UBERON_0002228,rib,http://eol.org/pages/1642,Mammalia,,,,Box 8,back,,,medium-sized mammal,,,proximal,Rib,2002-06-22 00:00:00,,B8,,medium-sized mammal,Sarah W. Kansa,,,ESL,,1.0,,small fragment- less than 1/4 of complete bone,,,,,,,,,,,,,,,89081.0,B02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/31692A6A-3176-4684-7517-B0BDAC239CDE,Bone GT-2664,Petra Great Temple Excavations,http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857,Animal Bone,2014-07-22,Sarah W. Kansa,30.328700000000000000000,35.442100000000000000000,Best available location data,-200,360,http://opencontext.org/subjects/FD3CE395-04CE-4CD1-B10B-7459FA6CB964,Jordan,Petra Great Temple,Upper Temenos,Trench 83,Locus 9,Seq. 83144,,,http://eol.org/pages/32609438,Sheep/goat,,,,Box 9,feet,,,Sheep or Goat,Left,,proximal shaft fragment,metatarsal,2001-06-24 00:00:00,,B16,,Ovis aries/Capra hircus,Sarah W. Kansa,,,,,1.0,,small fragment- less than 1/4 of complete bone,,,,,,,,,,,,,,,83144.0,B01-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/8AE62706-0CA7-4D84-AB00-D8504F48667D,Bone GT-2685,Petra Great Temple Excavations,http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857,Animal Bone,2014-07-23,Sarah W. Kansa,30.328700000000000000000,35.442100000000000000000,Best available location data,-200,360,http://opencontext.org/subjects/58D778B2-0ED3-4692-14ED-CB63C57143CE,Jordan,Petra Great Temple,Lower Temenos,Trench 17 Part I and Special Project 25,Locus 20,Seq. 17160,,,,,,,,Box 9,,,,,,,,,1995-07-22 00:00:00,,B17021,,Unidentified fragments,Sarah W. Kansa,,,,,3.0,,,,,,,,,,,,,,,,,17160.0,B109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/1B6BD60F-A790-4468-6268-1D73E98F5514,Bone GT-2995,Petra Great Temple Excavations,http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857,Animal Bone,2014-07-23,Sarah W. Kansa,30.328700000000000000000,35.442100000000000000000,Best available location data,-200,360,http://opencontext.org/subjects/86A424C1-9880-4FD7-777F-51195E509733,Jordan,Petra Great Temple,Lower Temenos,Trench 79,Locus 17,Seq. 79288,http://purl.obolibrary.org/obo/UBERON_0000976,humerus,http://eol.org/pages/32609438,Sheep/goat,,,,Box 8,upper forelimb,,,Sheep or Goat,Right,,proximal shaft fragment,humerus,2001-07-12 00:00:00,,B-19,,Ovis aries/Capra hircus,Sarah W. Kansa,,fused,,,1.0,,1/4 of complete bone,,,,,,,,,,,,,,,79288.0,B01-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/6A9BD481-1F43-4A5F-2D11-91EB663FDE76,Bone GT-3469,Petra Great Temple Excavations,http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857,Animal Bone,2014-07-22,Sarah W. Kansa,30.328700000000000000000,35.442100000000000000000,Best available location data,-200,360,http://opencontext.org/subjects/10E2159B-AA22-484D-3AD8-5A944BBE5895,Jordan,Petra Great Temple,Upper Temenos,Special Project 85,Locus 19,Seq. SP85116,,,http://eol.org/pages/32609438,Sheep/goat,,,,Box 5,feet,,,Sheep or Goat,Left,,proximal shaft fragment,metatarsal,2001-07-28 00:00:00,,B-16,,Ovis aries/Capra hircus,Sarah W. Kansa,,,,,1.0,22.4,1/4 of complete bone,,,,,,,,,,,,,,,,B01-145,,,,SP85116,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/49BA94CF-1F24-43DB-D1A9-680AF3586B4A,Bone GT-3279,Petra Great Temple Excavations,http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857,Animal Bone,2014-07-22,Sarah W. Kansa,30.328700000000000000000,35.442100000000000000000,Best available location data,-200,360,http://opencontext.org/subjects/F680F7F4-2B2C-4391-B906-DE373EA6150B,Jordan,Petra Great Temple,Upper Temenos,Trench 84 and Special Project 91,Locus 18,Seq. 84147,http://purl.obolibrary.org/obo/UBERON_0002228,rib,http://eol.org/pages/1642,Mammalia,,,,Box 5,back,,,medium-sized mammal,,,proximal,Rib,2001-07-07 00:00:00,,B16,,medium-sized mammal,Sarah W. Kansa,,unfused,JIF,,1.0,,small fragment- less than 1/4 of complete bone,,,,,,,,,,,,,,,84147.0,B01-186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/D8DB08EB-380B-4277-F540-241202E17C49,Bone GT-3280,Petra Great Temple Excavations,http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857,Animal Bone,2014-07-23,Sarah W. Kansa,30.328700000000000000000,35.442100000000000000000,Best available location data,-200,360,http://opencontext.org/subjects/F680F7F4-2B2C-4391-B906-DE373EA6150B,Jordan,Petra Great Temple,Upper Temenos,Trench 84 and Special Project 91,Locus 18,Seq. 84147,http://purl.obolibrary.org/obo/UBERON_0002228,rib,http://eol.org/pages/1642,Mammalia,,,,Box 5,back,,,medium-sized mammal,,,proximal,Rib,2001-07-07 00:00:00,,B16,,medium-sized mammal,Sarah W. Kansa,,unfused,JIF,,1.0,,1/4 of complete bone,,,,,,,,,,,,,,,84147.0,B01-186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/0921EA07-F0E0-4784-4EC6-E17482CC4B16,Bone GT-3281,Petra Great Temple Excavations,http://opencontext.org/projects/A5DDBEA2-B3C8-43F9-8151-33343CBDC857,Animal Bone,2014-07-23,Sarah W. Kansa,30.328700000000000000000,35.442100000000000000000,Best available location data,-200,360,http://opencontext.org/subjects/F680F7F4-2B2C-4391-B906-DE373EA6150B,Jordan,Petra Great Temple,Upper Temenos,Trench 84 and Special Project 91,Locus 18,Seq. 84147,http://purl.obolibrary.org/obo/UBERON_0002228,rib,http://eol.org/pages/1642,Mammalia,,,,Box 5,back,,,medium-sized mammal,,,proximal,Rib,2001-07-07 00:00:00,,B16,,medium-sized mammal,Sarah W. Kansa,,unfused,JIF,,1.0,,1/4 of complete bone,,,,,,,,,,,,,,,84147.0,B01-186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
